canonical_model,ADI,Acc,Acc_12R1C,Acc_3R4C,Acc_6R2C,BalAcc_12R1C,BalAcc_3R4C,BalAcc_6R2C,CDI,DCC,DCE,DI,Layout Agreement,MacroF1_12R1C,MacroF1_3R4C,MacroF1_6R2C,Oracle Acc,Oracle_Acc,Worst Acc,Worst_Acc,accuracy,balanced_accuracy,code15_test_f1,consistent_correct,cpsc_test_f1,csn_test_acc,ecgqa_test_acc,g12_test_acc,groups_valid,macro_f1,mean,parse_rate,parse_success,ptb_test_f1,worst_layout_accuracy
GEM,0.0154015401540154,0.8348001466813347,,,,,,,0.0712321232123212,0.7975797579757976,0.1157865786578657,0.0866336633663366,,,,,0.8688118811881188,,0.8308580858085809,,,,,,,,,,,,,1.0,,,
Reproduced GEM,0.0022002200220022,0.8662449578291164,,,,,,,0.0165016501650165,0.8578107810781078,0.1234873487348734,0.0187018701870187,,,,,0.8743124312431243,,0.8652365236523653,,,,,,,,,,,,,1.0,,,
PULSE,0.0231023102310231,0.8197653098643197,,,,,,,0.0984598459845984,0.7665016501650165,0.1119361936193619,0.1215621562156215,,,,,0.8649614961496149,,0.817931793179318,,,,,,,,,,,,,1.0,,,
GL-SL-LoRA-1%,0.0156765676567656,0.8341584158415842,0.8305830583058306,0.8369086908690869,0.834983498349835,,,,0.0706820682068206,0.7970297029702971,0.1166116611661166,0.0863586358635863,0.9136413641364136,,,,0.8677117711771177,,0.8305830583058306,,,,,,,,,,3636.0,,,1.0,,,
GL-TL-LoRA-1%,0.0159515951595159,0.8326916024935826,,,,,,,0.0709570957095709,0.7956545654565457,0.1174367436743674,0.0869086908690869,,,,,0.8666116611661167,,0.83003300330033,,,,,,,,,,,,,1.0,,,
TM-TL-LoRA-1%,0.0167766776677667,0.8337917125045838,,,,,,,0.0679317931793179,0.7978547854785478,0.1174367436743674,0.0847084708470847,,,,,0.8657865786578658,,0.83003300330033,,,,,,,,,,,,,1.0,,,
GL-SL-LoRA-3%,0.0156765676567656,0.8331499816648331,0.83003300330033,0.8355335533553355,0.8338833883388339,0.829748442579675,0.8353537943017995,0.8336701386215621,0.0715071507150715,0.7953795379537953,0.1174367436743674,0.0871837183718371,0.9128162816281628,0.829845347593666,0.8353657109046431,0.8337356924229435,0.8668866886688669,,0.83003300330033,,,,,,,,,,3636.0,,,1.0,,,
GL-TL-LoRA-3%,0.0154015401540154,0.8333333333333334,0.8303080308030804,0.8344334433443344,0.8352585258525853,0.8300400616387079,0.8342651745298723,0.835056791323262,0.0682068206820682,0.7973047304730473,0.119086908690869,0.0836083608360836,0.9163916391639164,0.8301455636893127,0.8343009230340591,0.8351107248187435,0.8655115511551155,,0.8303080308030804,,,,,,,,,,3636.0,,,1.0,,,
GL-SL-LoRA-5%,0.0159515951595159,0.8327832783278328,0.8292079207920792,0.8352585258525853,0.8338833883388339,,,,0.0706820682068206,0.7953795379537953,0.1179867986798679,0.0866336633663366,0.9133663366336634,,,,0.8660616061606161,,0.8292079207920792,,,,,,,,,,3636.0,,,1.0,,,
GL-TL-LoRA-5%,0.0151265126512651,0.833058305830583,0.8305830583058306,0.8344334433443344,0.8341584158415841,,,,0.0671067106710671,0.7981298129812981,0.1196369636963696,0.0822332233223322,0.9177667766776678,,,,0.8652365236523653,,0.8305830583058306,,,,,,,,,,3636.0,,,1.0,,,
TM-TL-LoRA-5%,0.0145764576457645,0.8322332233223323,0.828932893289329,0.834983498349835,0.8327832783278328,,,,0.0673817381738173,0.7967546754675467,0.1212871287128712,0.0819581958195819,0.918041804180418,,,,0.8641364136413642,,0.828932893289329,,,,,,,,,,3636.0,,,1.0,,,
